Time,Normalised Renewable Production Profile,Normalised Electricity Consumption Profile
2025-02-05T06:00:00Z,0.647701863,0.477922775
2025-02-05T07:00:00Z,0.583453416,0.6523625
2025-02-05T08:00:00Z,0.523378882,0.696050752
2025-02-05T09:00:00Z,0.489043478,0.672222492
2025-02-05T10:00:00Z,0.442484472,0.635042349
2025-02-05T11:00:00Z,0.394931677,0.600618364
2025-02-05T12:00:00Z,0.372223602,0.625807919
2025-02-05T13:00:00Z,0.390658385,0.602557743
2025-02-05T14:00:00Z,0.346484472,0.625748246
2025-02-05T15:00:00Z,0.292720497,0.726525117
2025-02-05T16:00:00Z,0.273440994,0.835436193
2025-02-05T17:00:00Z,0.253167702,0.881242844
2025-02-05T18:00:00Z,0.230757764,0.881089931
2025-02-05T19:00:00Z,0.213465839,0.820003207
2025-02-05T20:00:00Z,0.235677019,0.735136708
2025-02-05T21:00:00Z,0.258186335,0.607611319
2025-02-05T22:00:00Z,0.255850932,0.453329952
2025-02-05T23:00:00Z,0.272347826,0.308044322
2025-02-06T00:00:00Z,0.278012422,0.322761229
2025-02-06T01:00:00Z,0.272298137,0.306142239
2025-02-06T02:00:00Z,0.272248447,0.28863188
2025-02-06T03:00:00Z,0.273590062,0.27341148
2025-02-06T04:00:00Z,0.272397516,0.268592868
2025-02-06T05:00:00Z,0.27557764,0.307742227
2025-02-06T06:00:00Z,0.289987578,0.516643232
2025-02-06T07:00:00Z,0.285714286,0.70776535
2025-02-06T08:00:00Z,0.264099379,0.76932946
2025-02-06T09:00:00Z,0.27910559,0.737937619
2025-02-06T10:00:00Z,0.253664596,0.644112678
2025-02-06T11:00:00Z,0.278559006,0.587732679
2025-02-06T12:00:00Z,0.256,0.527764828
2025-02-06T13:00:00Z,0.251080745,0.505730493
2025-02-06T14:00:00Z,0.226285714,0.526026845
2025-02-06T15:00:00Z,0.277565217,0.626050342
2025-02-06T16:00:00Z,0.322782609,0.785381554
2025-02-06T17:00:00Z,0.376447205,0.823710406
2025-02-06T18:00:00Z,0.428770186,0.862960463
2025-02-06T19:00:00Z,0.466037267,0.812749182
2025-02-06T20:00:00Z,0.474931677,0.67636978
2025-02-06T21:00:00Z,0.499478261,0.511000384
2025-02-06T22:00:00Z,0.526360248,0.366098901
2025-02-06T23:00:00Z,0.552049689,0.22953302
2025-02-07T00:00:00Z,0.526459627,0.229257031
2025-02-07T01:00:00Z,0.492968944,0.237055574
2025-02-07T02:00:00Z,0.506037267,0.223651479
2025-02-07T03:00:00Z,0.527354037,0.198775207
2025-02-07T04:00:00Z,0.564074534,0.174902192
2025-02-07T05:00:00Z,0.577838509,0.181734775
2025-02-07T06:00:00Z,0.603279503,0.335143421
2025-02-07T07:00:00Z,0.648795031,0.581209651
2025-02-07T08:00:00Z,0.686409938,0.698728588
2025-02-07T09:00:00Z,0.705093168,0.753008835
